scene	lock_time	end_time	duration	status	image
179	1002.040000	1009.240000	7.200000	OK	scene_0178.png
180	1009.240000	1015.140000	5.900000	OK	scene_0179.png
181	1015.140000	1021.360000	6.220000	OK	scene_0180.png
182	1021.360000	1025.080000	3.720000	OK	scene_0181.png
183	1025.080000	1028.400000	3.320000	OK	scene_0182.png
184	1028.400000	1036.260000	7.860000	OK	scene_0183.png
185	1036.260000	1040.200000	3.940000	OK	scene_0184.png
186	1040.200000	1050.100000	9.900000	OK	scene_0185.png
187	1050.100000	1056.420000	6.320000	OK	scene_0186.png
188	1056.420000	1063.360000	6.940000	OK	scene_0187.png
189	1063.360000	1067.240000	3.880000	OK	scene_0188.png
190	1067.240000	1072.720000	5.480000	OK	scene_0189.png
191	1072.720000	1080.240000	7.520000	OK	scene_0190.png
192	1080.240000	1083.720000	3.480000	OK	scene_0191.png
194	1083.720000	1090.760000	7.040000	OK	scene_0193.png
195	1090.760000	1096.260000	5.500000	OK	scene_0194.png
196	1096.260000	1101.040000	4.780000	OK	scene_0195.png
197	1101.040000	1105.500000	4.460000	OK	scene_0196.png
198	1105.500000	1113.020000	7.520000	OK	scene_0197.png
199	1113.020000	1116.300000	3.280000	OK	scene_0198.png
200	1116.300000	1122.920000	6.620000	OK	scene_0199.png
201	1122.920000	1128.680000	5.760000	OK	scene_0200.png
202	1128.680000	1135.240000	6.560000	OK	scene_0201.png
203	1135.240000	1139.640000	4.400000	OK	scene_0202.png
204	1139.640000	1141.040000	1.400000	OK	scene_0203.png
205	1141.040000	1152.740000	11.700000	OK	scene_0204.png
206	1152.740000	1159.300000	6.560000	OK	scene_0205.png
207	1159.300000	1167.140000	7.840000	OK	scene_0206.png
208	1167.140000	1173.560000	6.420000	OK	scene_0207.png
209	1173.560000	1179.960000	6.400000	OK	scene_0208.png
210	1179.960000	1185.360000	5.400000	OK	scene_0209.png
211	1185.360000	1190.800000	5.440000	OK	scene_0210.png
212	1190.800000	1193.980000	3.180000	OK	scene_0211.png
213	1193.980000	1198.020000	4.040000	OK	scene_0212.png
214	1198.020000	1204.760000	6.740000	OK	scene_0213.png
215	1204.760000	1211.560000	6.800000	OK	scene_0214.png
216	1211.560000	1216.120000	4.560000	OK	scene_0215.png
217	1216.120000	1224.040000	7.920000	OK	scene_0216.png
218	1224.040000	1230.800000	6.760000	OK	scene_0217.png
219	1230.800000	1233.920000	3.120000	OK	scene_0218.png
220	1233.920000	1243.520000	9.600000	OK	scene_0219.png
221	1243.520000	1244.180000	0.660000	OK	scene_0220.png
222	1244.180000	1257.320000	13.140000	OK	scene_0221.png
223	1257.320000	1264.520000	7.200000	OK	scene_0222.png
224	1264.520000	1269.220000	4.700000	OK	scene_0223.png
225	1269.220000	1272.980000	3.760000	OK	scene_0224.png
227	1272.980000	1280.800000	7.820000	OK	scene_0226.png
228	1280.800000	1285.660000	4.860000	OK	scene_0227.png
229	1285.660000	1289.280000	3.620000	OK	scene_0228.png
230	1289.280000	1297.400000	8.120000	OK	scene_0229.png
231	1297.400000	1303.960000	6.560000	OK	scene_0230.png
232	1303.960000	1308.500000	4.540000	OK	scene_0231.png
233	1308.500000	1314.260000	5.760000	OK	scene_0232.png
234	1314.260000	1319.880000	5.620000	OK	scene_0233.png
235	1319.880000	1325.720000	5.840000	OK	scene_0234.png
236	1325.720000	1329.840000	4.120000	OK	scene_0235.png
237	1329.840000	1334.920000	5.080000	OK	scene_0236.png
238	1334.920000	1339.800000	4.880000	OK	scene_0237.png
239	1339.800000	1340.720000	0.920000	OK	scene_0238.png
240	1340.720000	1351.700000	10.980000	OK	scene_0239.png
241	1351.700000	1358.980000	7.280000	OK	scene_0240.png
242	1358.980000	1365.600000	6.620000	OK	scene_0241.png
243	1365.600000	1374.320000	8.720000	OK	scene_0242.png
244	1374.320000	1376.500000	2.180000	OK	scene_0243.png
245	1376.500000	1383.560000	7.060000	OK	scene_0244.png
246	1383.560000	1388.020000	4.460000	OK	scene_0245.png
247	1388.020000	1393.420000	5.400000	OK	scene_0246.png
248	1393.420000	1402.980000	9.560000	OK	scene_0247.png
249	1402.980000	1408.760000	5.780000	OK	scene_0248.png
250	1408.760000	1412.860000	4.100000	OK	scene_0249.png
251	1412.860000	1418.160000	5.300000	MISSING	scene_0250.png
252	1418.160000	1422.500000	4.340000	MISSING	scene_0251.png
253	1422.500000	1433.480000	10.980000	MISSING	scene_0252.png
254	1433.480000	1437.340000	3.860000	MISSING	scene_0253.png
255	1437.340000	1443.820000	6.480000	MISSING	scene_0254.png
256	1443.820000	1459.190000	15.370000	MISSING	scene_0255.png
